,fips_code,counts_of_outage,average_sums,number_of_data_centers,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23",CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023_x,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023_y,Unemployed_2023,Unemployment_rate_2023,BIRTHS_2023,DEATHS_2023,DOMESTIC_MIG_2023,GQ_ESTIMATES_2023,INTERNATIONAL_MIG_2023,NATURAL_CHG_2023,NET_MIG_2023,N_POP_CHG_2023,POP_ESTIMATE_2023,RESIDUAL_2023,R_BIRTH_2023,R_DEATH_2023,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2023,R_NET_MIG_2023,Rural_Urban_Continuum_Code_2023,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,avg_durations_hrs,sum_duration_hrs,sums_sum,avg_power_usage,avg_carbon_emission
fips_code,1.0,-0.019461079723470363,-0.016487088644912478,-0.005069623099970748,-0.07407873861840907,-0.08125011232093646,-0.07191346805941531,-0.0892360824496568,-0.04081355105578268,-0.040609387627429626,-0.04034561971125056,-0.03994716623574362,-0.04052695229918415,-0.04043977179847965,-0.039498163253326384,-0.039040725306804774,-0.038461928791789016,-0.03819689831274005,-0.03836947227351854,-0.03853079749898371,-0.03771832239305036,-0.03685367545314649,-0.03827119900707515,-0.03941457194340984,-0.03987547070484528,-0.0408496284143599,0.00933994247061476,-0.05736216889505082,0.044106189913257494,-0.08191722991503177,-0.11856428218762391,-0.1359687715544057,-0.16284105447339928,-0.13785966996054616,-0.1414145983711901,-0.09003765104892973,-0.04232349588144084,-0.01938033361364353,0.15663754617777592,0.1483361421398296,0.13853299115093065,0.09774091723757865,-0.015154857708821159,0.0012313814997781164,0.017725128351189414,0.03272185889363915,-0.06810939104863022,-0.19625979080758826,0.028005556539346534,0.16734165069513224,-0.04227542183564977,-0.041899763711775,-0.04173194913034115,-0.041011472683396784,-0.04045607333437599,-0.040035481821004415,-0.07112602295573398,-0.038942275220225975,-0.11402806400298204,-0.24924311946970615,-0.06066640752937916,-0.039027724086036886,-0.07605512906457196,-0.04009510718331042,0.019042817744629167,-0.06644736513040603,-0.0396418954773367,-0.09939869701482912,-0.24946784355628554,-0.058722698717247064,-0.03983541570396134,-0.0691413646174469,-0.04049025828211077,0.03197226047856011,0.02579838543117643,-0.06896918436861618,-0.10714641882894663,-0.06015686653520018,-0.07253037713072946,-0.03929751751640106,-0.249359636333548,-0.03943867184539899,-0.040294382751810534,-0.012153762346158488,-0.039584050698104195,-0.03956021402125375,0.059708336487043226,-0.07216158699470936,-0.0401669410733066,0.09522426103063564,-0.03948332887372307,-0.04017923094539176,0.03124700774334343,-0.027881158598792092,-0.04356580963045941,-0.03377973359727976,-0.026154559188853756,-0.02947987964139521,-0.03950484333419566,-0.05270456023091611,0.02233968417282166,0.0611659141763472,0.07548636211321039,-0.043895659270215735,-0.03646747873534262,0.06953189358739861,-0.07191346805941531,-0.13095226327706,0.092863531610918,0.06358772017122077,-0.1370014802053632,-0.033347752229564744,-0.049963166879395345,-0.022199274856749756,0.03623965103416925,-0.01973380111244862
counts_of_outage,-0.019461079723470363,1.0,-0.01855138050824879,0.04758159499755637,-0.5974245888336656,-0.5471941236978914,-0.5921296702116937,-0.49387751114939715,0.32389838569334345,0.3479043867124646,0.3576871297796758,0.36250064813443467,0.29010007971146307,0.31316770042499664,0.30179685046654814,0.3516539295395799,0.39356893542074467,0.41781891212891703,0.4133870087862781,0.4034764803462376,0.30143802877504117,0.31424603474568813,0.2744501276730191,0.24386963536668965,0.23760203757428847,0.22855244484941376,0.33905205361051216,0.344312245927982,0.08876980761871199,0.15423549753947083,0.18675437526884597,0.06746948390724977,-0.05745736153908197,-0.21446238736173384,-0.29303507377754917,-0.33823667988609973,-0.35211130057585666,-0.33928511285600915,-0.1854115006438143,-0.13777933594111028,-0.09992895515581343,-0.07201988286115414,0.3990834017285101,0.3912283989721647,0.39463257591802836,0.40021203221009793,0.013679365396846546,-0.08323603538531293,-0.13852087758500223,-0.15970195994823178,0.2455562769736633,0.284164318168512,0.3226308602216222,0.35795006688225045,0.3772616406246662,0.3855480897017045,-0.003481237120815235,0.28858885548770846,,,-0.006096579124071354,0.27858095266431043,0.0012369131243628816,0.31237089581029265,0.3594527549538462,-0.15295132416477136,0.3456421354420598,,,-0.15566465870526724,0.34121003942759925,-0.14305411738081272,0.3474232498564265,0.23542837857739818,0.2979092019380534,-0.09873352298467596,,-0.10294387369744869,-0.08534475642330441,0.3199936862479744,,0.31332601605387933,0.33094447156504897,-0.5936904801325416,0.36941522561360257,0.37165847401827135,0.5157729852091318,-0.5921296702116937,0.30778699853801567,0.04691195963395669,0.3749437432373613,0.414102787745089,0.01717809230632342,0.396201897501795,0.21480423272743943,0.22525891123811972,0.17098380058015433,0.26703064634356055,0.37454802338061155,0.02404227885044777,0.016136075427520616,-0.36335068852672414,0.08791329869902452,0.22182076945929752,0.29299949931743635,0.12775844408572265,-0.5921296702116937,0.32542417716298694,-0.15893007468612605,-0.10937864701065735,0.32369378611838234,-0.008186840278459413,0.6695619998906124,0.24035902664025433,0.23160006563974392,0.04883453720657297
average_sums,-0.016487088644912478,-0.01855138050824879,1.0,0.19800191694958796,-0.05661318103769424,-0.047276037650323496,-0.055682583126738384,-0.05859566743009479,0.35830113512297834,0.33744787047352764,0.3275205043776348,0.31803493638307734,0.405308361285011,0.37684467829704815,0.4698723925017488,0.4389607648513126,0.40506236452886274,0.3925904154675477,0.37893736839566633,0.3724755722616103,0.4495259338148591,0.45493164242825257,0.4764985761007552,0.4595200618769876,0.43357197277508286,0.4213177804725356,0.030865692755175422,0.03012682956687719,0.028026300398452268,0.03542765359922492,0.03027845943433044,0.01227459457725929,-0.002193997868341478,-0.019526491607419944,-0.05128785328911109,-0.05514574424040612,-0.04960454585970831,-0.04511545259700096,-0.008237074469695472,0.004561910879023167,0.00899926652122058,0.013981156907284662,0.03401179216531751,0.03254078851754013,0.03366309332168136,0.03615051169850146,0.015973821732655595,-0.010032358426695732,-0.027648555182866637,-0.020245637369150575,0.4712425346418536,0.4546809822600202,0.4307109496119794,0.40576086675068707,0.38661437940109905,0.37054358865196163,0.03770506466709422,0.41918601243190845,,,0.04278259213534877,0.43396241885867615,0.028566852284890316,0.4208077498992494,0.027180687670505813,-0.002479892726315835,0.3988479385977866,,,-0.0009194970216607788,0.410218209662459,-0.0019689103868183355,0.40784884086094997,0.00929549984362583,0.018162382492371613,0.012483985704575954,,0.014961267124260947,0.010450190620840386,0.40854852031915845,,0.42148836542403295,0.4141408434599896,-0.05238095422991441,0.3513687308945754,0.3491203347659002,0.049484828162989436,-0.055682583126738384,0.392037801507235,0.02694392247309452,0.34191544641366706,0.3825454580128544,-0.34549492176300917,0.3058338882675659,0.2548243469522727,0.19566304043253124,-0.27747419664459416,-0.1879352241364912,0.36006281973829335,0.08598694533311989,0.0030030641199624724,-0.03674663828487028,-0.037067952640660234,0.04979844864199189,0.030264910309026154,-0.029404059060978295,-0.055682583126738384,0.014403533836580287,0.025272550247858877,0.029953977338760353,0.006621264378245724,0.5908771467859891,0.22898560516148805,0.6992733295972802,0.012308205942169465,-0.00012613679133535038
number_of_data_centers,-0.005069623099970748,0.04758159499755637,0.19800191694958796,1.0,-0.19668826847663004,-0.16320779532784255,-0.18521142623026443,-0.2522778553941818,0.576902386668712,0.5856729009328678,0.5990392941058176,0.5989865865369505,0.5530927620551247,0.5693765780314323,0.5020814909121724,0.5065095263264322,0.5005130597222691,0.5022176143353296,0.5119644118289746,0.5093000175170396,0.47174365569688237,0.49745371720255943,0.5227249361356713,0.5356321097158647,0.5359925372841191,0.5307638520746897,0.1529551279800083,0.19630841268450755,0.1672157048770499,0.16025044081745243,0.10156514546946066,-0.03210948876643314,-0.1701809348727502,-0.255184092006603,-0.2527672594891964,-0.2802309949737084,-0.27978018869174215,-0.26618113681449473,-0.09669492330792775,-0.026045837720007847,0.023217894559973626,0.05896488779410538,0.21894196021506074,0.23123861590451275,0.25081231120577563,0.24832316119358663,0.01603182164832946,-0.10694601749599432,-0.127276284103946,-0.1282904349680629,0.5492545736681833,0.5534378650150077,0.5473967670354654,0.5419475396505956,0.5365153264556349,0.5260156940505812,-0.0039802651374104036,0.488310880698303,,,0.00890099571702614,0.4887102766698156,-0.037285450199279764,0.5302232006035962,0.32127830546338343,-0.10789569501997945,0.4882674502426047,,,-0.10045927325067874,0.48941847105861397,-0.11780466099728473,0.5280914471414558,0.2816476723322503,0.30255201925073044,-0.06521523845768955,,-0.056200570438148585,-0.08252923019943359,0.488632667321257,,0.4895178462594894,0.5292323265514484,-0.18521142623026443,0.5806019926839224,0.5806807544008166,0.11727300586085816,-0.18521142623026443,0.5609193080025139,0.007595214046051074,0.5503936755077036,0.52114990913741,-0.4765294970563383,0.516451583919789,0.49733031355785073,0.49549863019333557,-0.29691148309374815,-0.08035655751688399,0.5628449397963722,-0.09009524505233706,0.06481919550633573,-0.26710610424942083,-0.19589676400804923,0.2778891091484902,0.2284910174935811,-0.1399557246242074,-0.18521142623026443,0.11012999684924295,0.05120369123257698,0.055814505830345584,0.0911172092779315,0.35062652401381883,0.3171950528876349,0.22612868577858633,-0.03369342618732764,-0.029166249404193205
2013 Rural-urban Continuum Code,-0.07407873861840907,-0.5974245888336656,-0.05661318103769424,-0.19668826847663004,1.0,0.901790879381061,0.9187104882991737,0.8028645246765249,-0.2898455497284659,-0.3086484700389673,-0.31770218038984255,-0.32331118654416313,-0.27047978761879105,-0.2815119416574068,-0.2827783327804841,-0.3124266673398555,-0.3429643298855576,-0.36193161727783235,-0.361753594849064,-0.35743636614277646,-0.2794091687119221,-0.2867000896448548,-0.26522578211780806,-0.24599966232811782,-0.24277217875091897,-0.23504719133789992,-0.3050054822653491,-0.2717423920825584,-0.061935044528607874,-0.07948953815649275,-0.14070759766894145,-0.06689952260222927,0.05940743808931925,0.18905371080705724,0.18764849090507152,0.279496662156435,0.3266514732021703,0.32794243556078584,0.1717784959087115,0.13961862448312756,0.1006831101821473,0.09855180179953753,-0.34329514647653175,-0.3610071472583367,-0.38856077484780094,-0.40457902507206295,-0.10635786004171176,0.0198816878279146,0.17948449951406056,0.13106811392746892,-0.2436222877550287,-0.2676559366864724,-0.2971942977822008,-0.3242881440736407,-0.3390995158893018,-0.34555482995575615,0.19484512660332337,-0.2764995213606101,,,0.19270226696490786,-0.2695970165324234,0.192845313208243,-0.2953737509523209,-0.5070824403323051,0.3283717678159461,-0.31862109356121593,,,0.3283660970266984,-0.3157727643124143,0.31256603886198375,-0.3217824071248806,-0.42138048273964696,-0.4660491958138762,0.2819565797682148,,0.28267805461381035,0.26609314248559085,-0.2997669594093538,,-0.2953142689191832,-0.30939539319392867,0.9166562651178771,-0.33304042997325006,-0.3345929643859278,-0.8132765052326375,0.9186971765154003,-0.2880498672657377,-0.030672128495397886,-0.3473151660313451,-0.37268142515622127,0.03948367485253724,-0.3440071212555219,-0.231639328493985,-0.22939195286973035,-0.1082794759826705,-0.2066782507321782,-0.33743652725100454,0.007479570162420874,-0.004542195891685039,0.4483373976686677,-0.12888375961730397,-0.1909775259777258,-0.35334575739194307,-0.1646884358514067,0.9187104882991737,-0.21612855682868423,0.10145168745757914,0.054134262709963854,-0.21366665726658135,-0.06929213813703966,-0.46565342613086524,-0.231219243766871,-0.20986439918017422,-0.03296442436938659
2013 Urban Influence Code,-0.08125011232093646,-0.5471941236978914,-0.047276037650323496,-0.16320779532784255,0.901790879381061,1.0,0.847700674120745,0.8729344332153123,-0.24444261005429058,-0.26049656662943177,-0.2683635015396771,-0.2730533754219041,-0.22739626429218165,-0.23753640315435123,-0.23911470634344686,-0.26623680800330585,-0.2938428024662601,-0.3115236493462372,-0.3116228493589067,-0.30785013189928245,-0.2376487610745687,-0.24590694488717288,-0.22714923670425227,-0.21034249150796008,-0.2076839489023267,-0.200242291023827,-0.22382398455195232,-0.18696890739963998,0.019331921331224206,0.014575009780406194,-0.050924076893885686,0.011284006413189471,0.11232765698136622,0.2114283800688394,0.13499236529008585,0.19021646390688973,0.22831235300917455,0.22974399328187264,0.10084914410111295,0.08486772500761915,0.054830551115385796,0.06476875953581021,-0.2553045939169412,-0.2756587446661249,-0.3030073467751569,-0.3231644740608599,-0.04835946001930044,0.03984800543994011,0.09439866940850362,0.05013308954603261,-0.20450964493724452,-0.2257265494426298,-0.25151046082808226,-0.275529572137057,-0.2891843823262299,-0.2951374031728654,0.1552933411378689,-0.2345657659777018,,,0.1513432008478371,-0.22858467654165307,0.16907296090907153,-0.25090663736512786,-0.4463804478268981,0.27851715076623307,-0.27148023573337937,,,0.27654896446249394,-0.2690421279403358,0.27576223116870263,-0.27420181636107754,-0.370093815358871,-0.40982511777105707,0.23543755984037334,,0.23409868223254163,0.2343277327216298,-0.2549484624085435,,-0.251107134962009,-0.2632715269635453,0.8443606496729201,-0.2833892593736716,-0.2847127044404103,-0.7549212431702105,0.8476723841828868,-0.24505231898111027,-0.029514230671174254,-0.2945364648312755,-0.31924395748954626,0.025147328090591673,-0.29787807227932955,-0.19335547623535093,-0.18816949820017964,-0.10063444630058732,-0.1811956179221244,-0.28757081894753117,0.004758872249995504,0.021211001846894714,0.3836041264570573,-0.18026610330801737,-0.14680971949921257,-0.28894560999596725,-0.20960464875874935,0.847700674120745,-0.23822876251125474,0.13560930708780428,0.08440039605356513,-0.24122745358357284,-0.05029446435284363,-0.4126041451721461,-0.20203681373049803,-0.19007426166891772,-0.026089655705600616
2023 Rural-urban Continuum Code,-0.07191346805941531,-0.5921296702116937,-0.055682583126738384,-0.18521142623026443,0.9187104882991737,0.847700674120745,1.0,0.8326056823247465,-0.2852199646179731,-0.3040700379706021,-0.31313786693012247,-0.3226959913066759,-0.26518100992338584,-0.2771038190958137,-0.277202931172497,-0.3076396804147499,-0.3380764487301684,-0.35706390829759893,-0.35716390456423247,-0.3568644084494834,-0.2733397983207102,-0.2814409619282708,-0.2607327288434268,-0.24211878957493954,-0.23949505350271236,-0.23430708820242513,-0.31511455662805615,-0.29024993621908873,-0.09056423796876978,-0.11018990481494488,-0.16733458921124827,-0.09701647819913045,0.03391731131388162,0.17371724005198583,0.1982748062020428,0.2952538212192761,0.3429002215577396,0.3525426744992534,0.18803649387788995,0.1588725970162441,0.11804455428836491,0.11864164400821267,-0.35768475589774645,-0.37660340232435446,-0.4016839979614846,-0.4253902049983886,-0.10850532354323875,0.020114490269329,0.19196554673972083,0.14944095362275517,-0.23916598552807009,-0.2639872953081642,-0.2935184067568438,-0.3207026852069912,-0.3357379392061772,-0.3454316348656906,0.20429317996257884,-0.27582965645274593,,,0.20083658996082962,-0.26898012953311146,0.20593292914026634,-0.29469580854390165,-0.5151594472200494,0.3408550355187558,-0.31783515486446084,,,0.3393790080748972,-0.31501306249318217,0.3279727727822468,-0.32105749993051624,-0.43134648951686805,-0.4751633711605308,0.2934542347001558,,0.29278315039631003,0.2806799784948249,-0.2990367221021075,,-0.29462255778796836,-0.30869451116468694,1.0,-0.3291781091795929,-0.33072202817843455,-0.8846422397342041,1.0,-0.28447013756969575,-0.012782263385573181,-0.3461861593450305,-0.37155317061879056,0.03873187888066234,-0.34393557555234905,-0.23017907664034565,-0.22790179504152236,-0.10843065730566143,-0.20621067760026118,-0.33709066499665913,0.004209618873273859,-0.0024559212879643527,0.46159901636973905,-0.12468825864804332,-0.20562674130351025,-0.3631562553271104,-0.16300107491067659,1.0,-0.20399222160086353,0.08644702629439353,0.04128651022078092,-0.1994309676087543,-0.06855445714203866,-0.45904853279524765,-0.2310587922899442,-0.21890388849183248,-0.033914697592329665
2024 Urban Influence Code,-0.0892360824496568,-0.49387751114939715,-0.05859566743009479,-0.2522778553941818,0.8028645246765249,0.8729344332153123,0.8326056823247465,1.0,-0.27317996049626647,-0.291450665289637,-0.3001676296977492,-0.3088570462126876,-0.2543913011026587,-0.2642238049620306,-0.26269244044762896,-0.28790511040636235,-0.3146582167861502,-0.33166547415190384,-0.3314136185009374,-0.32988824637434244,-0.26035401377873735,-0.2649183488845006,-0.24576139483574236,-0.22972752539058128,-0.2268282457421149,-0.22204075118099045,-0.2068265629614435,-0.18679934755298594,0.019599980732971242,0.008371690884971306,-0.05044191632832594,0.011410156095228913,0.1169800690964963,0.22736613427463015,0.15052755937379697,0.20016786010731052,0.23179631803775147,0.23165266014563005,0.09079609640521423,0.07615080457264398,0.04778909203132517,0.06538001263361473,-0.2549356863476025,-0.2748222941071095,-0.3035297040574457,-0.33274728288048205,-0.036058532942799905,0.05486595608816525,0.08113075128117311,0.04330437542994261,-0.22715136195140062,-0.24830072512128357,-0.274739192214805,-0.298817437822619,-0.3107617173478122,-0.31777116590027626,0.17420775907786748,-0.25380681146995693,,,0.16768125768580466,-0.2480573884236456,0.19976171982581617,-0.27138675688331954,-0.4826681150567809,0.2898519479382795,-0.28868563305366934,,,0.28587059758302436,-0.28639550158188815,0.29562879480094334,-0.29318377296093,-0.41303514730961877,-0.44976770035498864,0.24972381762033996,,0.2460808427099502,0.25875361959112614,-0.27310348126233464,,-0.26944516093226933,-0.28297207062254814,0.8290603142838835,-0.3110218709167626,-0.31248289667151447,-0.6755706816762099,0.8326053343989722,-0.2687284792775894,-0.02474019279019842,-0.32310409589864064,-0.34046647307698097,0.054339763273366225,-0.3056916689799679,-0.23040140446865978,-0.2253077852837003,-0.08809785600061934,-0.18485602919170202,-0.31478825258999216,0.03204182410574921,0.027036873830520836,0.37652698155995185,-0.1893231479636423,-0.16125881080978627,-0.28079059586000543,-0.22143332401733667,0.8326056823247463,-0.21714403093420875,0.12535192329955785,0.07934064281704864,-0.22029746235004385,-0.059013125893215904,-0.4025106744293241,-0.20983931418686172,-0.164124507509146,-0.020219937902441587
"Bachelor's degree or higher, 1990",-0.04081355105578268,0.32389838569334345,0.35830113512297834,0.576902386668712,-0.2898455497284659,-0.24444261005429058,-0.2852199646179731,-0.27317996049626647,1.0,0.9998616474545247,0.9996727659300817,0.9992423707145484,0.9992729472543923,0.9998710862939143,0.9978318914180034,0.9980774504327761,0.9976987584499064,0.9972456594723982,0.9972875521864218,0.9971970560459047,0.9967825199255562,0.9972908424457657,0.9984071268521247,0.9983334389226893,0.9972908152949568,0.996409730945872,0.05381705600521268,0.05510706428756848,0.031936421329590674,0.03554564997189834,0.029989307143246137,0.01152571949137195,-0.008588971969394742,-0.02947388776964711,-0.03731199518456036,-0.05045494149119434,-0.053314352888900435,-0.05510991093213834,-0.03226411892935758,-0.021803549949296328,-0.015512995666919526,-0.009168687981655285,0.0631463386072799,0.061212465441685,0.061639852366084526,0.06227625830009629,0.01764099657625777,-0.001144832315777425,-0.0367909300323819,-0.03534445449836482,0.9992023764470994,0.9994181288155832,0.9992783781294938,0.998892842655747,0.998301142181823,0.997673864866344,0.006985219184461159,0.9960209287146369,0.0708757198268337,0.9959561750108892,0.008737714899101018,0.996107780116719,0.0006774325083017408,0.9974570385627508,0.06372646088728086,-0.03735636086746868,0.995977732925606,-0.02558325099507336,0.9958797279369156,-0.03705223015461009,0.9960223975274516,-0.03386091779725431,0.997459597485783,0.035079651690325064,0.049456147728329125,-0.02129001137937852,0.02187298811707391,-0.020903462202760088,-0.02009340297733814,0.9960225542992259,0.9959265968965613,0.9961002703016346,0.9974648373649699,-0.29391196747143017,0.9984028748980235,0.9983603603152613,0.2629028833599271,-0.28530498305050045,0.9983926976327345,-0.00063235966051549,0.9974736274481794,0.9972836624564304,-0.09717902163931846,0.9689188292476462,0.9909626711888863,0.9570686810921983,0.8651233588804128,0.9241086690955945,0.9982403962523855,0.002393187988634567,0.0025157511525501757,-0.050311730909459354,-0.021171856776644567,0.05516724041163128,0.04073179616761047,-0.0120604956800031,-0.2852199646179731,0.10470715960117846,0.08756339084180378,0.12201387931810033,0.07068542012180375,0.01834904397196764,0.019444032470397717,0.0229767032125083,0.004584979565638509,-0.0007974784343714776
"Bachelor's degree or higher, 2000",-0.040609387627429626,0.3479043867124646,0.33744787047352764,0.5856729009328678,-0.3086484700389673,-0.26049656662943177,-0.3040700379706021,-0.291450665289637,0.9998616474545247,1.0,0.9999420639711255,0.999687631629853,0.9987757066631466,0.9996539583600662,0.9975342998341629,0.9981764587446934,0.9980676249165958,0.9978272159412704,0.9979871789439636,0.9979799404312021,0.9968651341966118,0.9975943998028088,0.9985998499391037,0.9984567667779657,0.9974364445914473,0.9964727234186926,0.05319143868838636,0.05493099764034973,0.03205076265953875,0.03591829444591186,0.03074108859241098,0.012336546454539363,-0.007750787448298321,-0.028735171170187746,-0.03744114876320802,-0.050572727376442764,-0.05346302241407007,-0.05544712227872835,-0.03263209860399696,-0.022264745792618702,-0.01597681730219333,-0.009793765028796992,0.06282366537847954,0.06126542641279607,0.061645331016877476,0.06251750993887574,0.01745248328967741,-0.001153880194650118,-0.03649917178911622,-0.03534717455154423,0.9987179511407253,0.999261737515466,0.9993891754185968,0.9993156044169078,0.9989186737815636,0.9984471808065534,0.006097220280161799,0.9967124958023276,0.07099382058493625,0.9967082883129453,0.00785034518266293,0.9967709651905761,-0.00022364878868472217,0.9980580809781128,0.06419381526713243,-0.038038735796427345,0.9966504635802519,-0.025467076958862838,0.9966209035475638,-0.037738806400662954,0.9966620304318354,-0.03457950641436588,0.9980528993322796,0.03559680937610739,0.04995066435150179,-0.02205672156969902,0.021990731815336746,-0.021671086769712036,-0.020891796681229702,0.9967046018125925,0.9966731590387213,0.9967515417863603,0.9980619866602073,-0.31307928772431215,0.9990344521592717,0.9990096358686978,0.2806176268990704,-0.30416088572711414,0.9985575216962139,-0.001292221635985565,0.9981749596820392,0.9981064976445849,-0.08388336565771431,0.9752286990920129,0.9917234751388472,0.9570319953717689,0.8716753467786854,0.9288547153904463,0.9988848858037949,0.003243786655788115,0.0024208115745306333,-0.05048210910379831,-0.01973892706627345,0.05484785130524935,0.040854348607305496,-0.010647403112125765,-0.30407003797060206,0.11552893232369249,0.0879755133902266,0.12181867503086749,0.08006456655659251,0.015901803337083315,0.018740006639301934,0.02141881938949521,0.004687647222639971,-0.0006235796669528911
