,fips_code,counts_of_outage,average_sums,number_of_data_centers,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23",CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023_x,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023_y,Unemployed_2023,Unemployment_rate_2023,BIRTHS_2023,DEATHS_2023,DOMESTIC_MIG_2023,GQ_ESTIMATES_2023,INTERNATIONAL_MIG_2023,NATURAL_CHG_2023,NET_MIG_2023,N_POP_CHG_2023,POP_ESTIMATE_2023,RESIDUAL_2023,R_BIRTH_2023,R_DEATH_2023,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2023,R_NET_MIG_2023,Rural_Urban_Continuum_Code_2023,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,avg_durations_hrs,sum_duration_hrs,sums_sum,avg_power_usage,avg_carbon_emission
fips_code,1.0,-0.06641578821148371,-0.06061166465733487,-0.005069623099970748,0.08182934154060385,0.04855704142864398,0.07219716201360231,0.06926769136600243,-0.1639843804467729,-0.17367427256221538,-0.17193349941659994,-0.16803839680336985,-0.12917402383223142,-0.15029279211015428,-0.12103568976294707,-0.14311173706754565,-0.1495727954132606,-0.15584719586340845,-0.16037363121877926,-0.16320681317811314,-0.08703492437221474,-0.1122428843784665,-0.13884258209391628,-0.1495205477172224,-0.15019663604431452,-0.14891959202695593,-0.07738979682248483,-0.07755540142327315,-0.2031927058383067,-0.24308421746260528,-0.22744326552405258,-0.17890705246534327,-0.1223950274213167,-0.03495520271443539,0.12189032172904951,0.16076297569804343,0.17621073937003648,0.15818814300138878,0.14100887861834036,0.08462528620805976,0.04398897941755536,0.010259862635596083,-0.08620163722315044,-0.08471123728042262,-0.08297881035571972,-0.08638429612685579,-0.16770380537152368,-0.06906961736326978,0.19061818418094384,0.18793165040138202,-0.15340040730600743,-0.18001953249122168,-0.1952572469788013,-0.20086095749561145,-0.19413297220227127,-0.1855718044780991,-0.017903231364057876,-0.10527415860949353,,,-0.015012734316924863,-0.10700027863003693,-0.014653481987356599,-0.13818047951997536,-0.1023408391421872,0.017591181739203116,-0.11719062119759781,,,0.017556561071278072,-0.12040168056185002,0.03104373930130358,-0.1437339273984486,-0.07924901950892263,-0.0910696297995095,0.002692512714029463,,0.004150099703118117,0.010640008438963067,-0.11176031961461172,,-0.11434981549294895,-0.1411124141858477,0.07219716201360231,-0.1615059994846213,-0.16168796672035726,-0.028573898404193904,0.07219716201360231,-0.15253658687512028,-0.09013145825765821,-0.14338915653192225,-0.1927717193788282,0.12944804012375005,-0.18410855108077948,-0.14283478336631408,-0.0227703094627177,0.07520994671193672,0.06538316216531129,-0.16747738109460608,-0.06383856357790448,0.06521932223804394,0.06813028559232237,0.1514348831704963,-0.13018756983470084,-0.018711797757100038,0.13103495841767013,0.07219716201360231,-0.24615406420932165,-0.04755899146516736,-0.09313259744119999,-0.21967413185429227,-0.10757655670572133,-0.19846607404334038,-0.09660473444611867,0.14281784984753343,-0.05834836279277972
counts_of_outage,-0.06641578821148371,1.0,-0.14023185743927383,0.04758159499755637,-0.5199397205702659,-0.4512152701905047,-0.5083029641520405,-0.3265578766909497,0.1465035106401201,0.16877163797160527,0.17576921377707902,0.18344582850318353,0.1267717351420715,0.13504841565475514,0.12871021334201657,0.1523671751026811,0.18025720953636282,0.193226568855875,0.18025890383650184,0.16927919437937108,0.11918134890028734,0.10785958142741389,0.06105956159944762,0.033747240956424104,0.028533421457295573,0.027262267292293543,0.26609970035502595,0.31417304856117617,0.10215302502793722,0.12937439184247723,0.1100968637147116,-0.01767050530010155,-0.1518702433079196,-0.2954932644063687,-0.2765011544231035,-0.2861015651845038,-0.2967999471948276,-0.3103355767346055,-0.22773334697002268,-0.18859166197803623,-0.13194580859819557,-0.10123288518922637,0.3699672421950755,0.3511709769549167,0.33737357624337994,0.3524468467422978,0.04376201780807913,-0.0991253805419149,-0.17225631958255438,-0.19578981865298553,0.07031567439781129,0.085394867639445,0.11243114089083436,0.13914606472214114,0.15051014735878165,0.158196572245925,0.07470103947821978,0.08149947827177872,,,0.07675025560863813,0.07342105986216622,0.0395362253513013,0.09870338600065529,0.2454124017437372,-0.09089810672134066,0.1188080254548832,,,-0.08867221309863517,0.11423704377450843,-0.11751433195607774,0.12042567214071626,0.1432743216323699,0.19466700228368555,-0.021315871816725784,,-0.020323847215251663,-0.047369809864575355,0.10162642669418286,,0.09558031413682126,0.11006789184258586,-0.5083029641520405,0.1609047016039646,0.16318157400734887,0.4498162205438973,-0.5083029641520405,0.10627602292037017,-0.03212435837468207,0.1637622922897201,0.17591222210169302,0.0523590546515662,0.1906476941922945,0.04562166361175552,0.1090568634319537,0.10318981207616178,0.15280330766156303,0.15948955886699834,0.02995703024534406,0.1497445163271561,-0.3265443990847179,-0.15395411998317102,0.23284219153434094,0.3166572262070931,-0.10570023510143133,-0.5083029641520405,0.1970959479143875,-0.1951049887306951,-0.1619654840153601,0.231754250259041,-0.16329355366448045,0.4119328255567464,0.00882110472516808,-0.15594017247967185,-0.021864845496642492
average_sums,-0.06061166465733487,-0.14023185743927383,1.0,0.19800191694958796,-0.06669697729147116,-0.05479613811978393,-0.06367177538171173,-0.08668493730143471,0.36428137277694134,0.3429647618923548,0.3326902082915336,0.321470013233379,0.4132538809323489,0.3841834254116902,0.48567251198091904,0.46061634425605114,0.4284882609028849,0.4176267728358257,0.4000553948393494,0.38967248343950667,0.4605607108316991,0.4670093227293317,0.4852395004326887,0.46339089429252145,0.43552106504935956,0.42232519977199856,-0.004054051383538731,-0.011860446358993327,0.022168377738389144,0.03474121745502521,0.025008167551559102,0.003847305942577625,0.0009942214728929529,-0.007952144150875376,-0.06352452116179197,-0.04885181389942051,-0.03223017584197005,-0.02224547176568983,0.04171234959640263,0.06393544786854392,0.06754841054577333,0.07622200556701808,-0.013738562996909379,-0.017444771814017743,-0.016228887478274712,-0.011933812811005966,0.008234775524463948,-0.0256280403507688,-0.00969347803887445,0.008404329400008393,0.4785408399007725,0.46675211045461257,0.44596346993617625,0.42271481561440294,0.403690087296323,0.385971339424688,0.14159418826888226,0.4260091284655894,,,0.1545760979222697,0.4411054131190686,0.11275510023603622,0.4305595228982437,-0.017235733799437606,0.06761023304433203,0.41092003420860485,,,0.07342387957581799,0.4231818261401219,0.06150646487120607,0.42099107707855365,-0.03866404553217206,-0.02815900322597226,0.10041714688462659,,0.1089987036281478,0.0854592477128704,0.41818962186431047,,0.43178003860188247,0.4256614064403529,-0.06367177538171173,0.3619471913490231,0.3596886633774607,0.03929085658845879,-0.06367177538171173,0.4000348067042869,0.07401654623946273,0.35049175302811203,0.4032677483415966,-0.3523990745389695,0.3176883333868988,0.24332670082123706,0.18358906582658968,-0.30732642658684145,-0.22836640504417147,0.3715011453452056,0.08758060523617345,0.01626576317912755,-0.014315052250738558,-0.08863082815321609,0.048430135733797286,0.01847841772669874,-0.08366007770207268,-0.06367177538171173,0.020244707803164768,0.04612777902882897,0.0447384048131814,0.007929182955111733,0.8847905202050831,0.2566920620871975,0.7634647370939671,-0.04963931575282524,-0.010746240222884628
number_of_data_centers,-0.005069623099970748,0.04758159499755637,0.19800191694958796,1.0,-0.19668826847663004,-0.16320779532784255,-0.18521142623026443,-0.2522778553941818,0.576902386668712,0.5856729009328678,0.5990392941058176,0.5989865865369505,0.5530927620551247,0.5693765780314323,0.5020814909121724,0.5065095263264322,0.5005130597222691,0.5022176143353296,0.5119644118289746,0.5093000175170396,0.47174365569688237,0.49745371720255943,0.5227249361356713,0.5356321097158647,0.5359925372841191,0.5307638520746897,0.1529551279800083,0.19630841268450755,0.1672157048770499,0.16025044081745243,0.10156514546946066,-0.03210948876643314,-0.1701809348727502,-0.255184092006603,-0.2527672594891964,-0.2802309949737084,-0.27978018869174215,-0.26618113681449473,-0.09669492330792775,-0.026045837720007847,0.023217894559973626,0.05896488779410538,0.21894196021506074,0.23123861590451275,0.25081231120577563,0.24832316119358663,0.01603182164832946,-0.10694601749599432,-0.127276284103946,-0.1282904349680629,0.5492545736681833,0.5534378650150077,0.5473967670354654,0.5419475396505956,0.5365153264556349,0.5260156940505812,-0.0039802651374104036,0.488310880698303,,,0.00890099571702614,0.4887102766698156,-0.037285450199279764,0.5302232006035962,0.32127830546338343,-0.10789569501997945,0.4882674502426047,,,-0.10045927325067874,0.48941847105861397,-0.11780466099728473,0.5280914471414558,0.2816476723322503,0.30255201925073044,-0.06521523845768955,,-0.056200570438148585,-0.08252923019943359,0.488632667321257,,0.4895178462594894,0.5292323265514484,-0.18521142623026443,0.5806019926839224,0.5806807544008166,0.11727300586085816,-0.18521142623026443,0.5609193080025139,0.007595214046051074,0.5503936755077036,0.52114990913741,-0.4765294970563383,0.516451583919789,0.49733031355785073,0.49549863019333557,-0.29691148309374815,-0.08035655751688399,0.5628449397963722,-0.09009524505233706,0.06481919550633573,-0.26710610424942083,-0.19589676400804923,0.2778891091484902,0.2284910174935811,-0.1399557246242074,-0.18521142623026443,0.11012999684924295,0.05120369123257698,0.055814505830345584,0.0911172092779315,0.35062652401381883,0.3171950528876349,0.22612868577858633,-0.03369342618732764,-0.029166249404193205
2013 Rural-urban Continuum Code,0.08182934154060385,-0.5199397205702659,-0.06669697729147116,-0.19668826847663004,1.0,0.9236863301323898,0.9359179927628541,0.7782353818822206,-0.33505529551640256,-0.3574959923479098,-0.36392838285014506,-0.3726235571448302,-0.30201777722076945,-0.3225388015058593,-0.296674721147373,-0.3307671044392487,-0.3545559252285472,-0.366393575415117,-0.3592268374833272,-0.35264272989327083,-0.28735330998170994,-0.2889965481127077,-0.263701943011177,-0.24751107526881913,-0.24419081062995562,-0.24356596796945573,-0.2764026236212184,-0.3459457630618667,-0.1409135691044634,-0.2003561213242084,-0.1915672331796051,-0.06268184983402508,0.15031725498624338,0.3233726809740616,0.2853689809792606,0.38642876070140736,0.43715407308326504,0.48899392729224855,0.3164319830597037,0.25027652518397336,0.18730826952593313,0.11717906566275456,-0.414696891710837,-0.42719431892497983,-0.4605084563865573,-0.48125272084765774,-0.11170927849373108,0.035153413865339135,0.2269041524501008,0.28062949243758334,-0.2603371521109701,-0.2914930395072766,-0.31904639683346897,-0.3411824233775164,-0.3460932840470337,-0.3483045299024309,0.11045314916753757,-0.277076640221152,,,0.0937519567799956,-0.2703886825964894,0.1764655587507697,-0.29599217429709895,-0.4865166685467634,0.33453802242173497,-0.3085179853006243,,,0.3204018623952846,-0.30521799426081786,0.3636071244502598,-0.3146085503756969,-0.401669760253162,-0.44556436622474815,0.24415479622849098,,0.23068481550469497,0.2825504976235785,-0.2941890765336973,,-0.28948205717320724,-0.30578167751448454,0.9359179927628541,-0.3599705652442268,-0.3621188928969506,-0.8139131655569795,0.9359179927628541,-0.3019325934444098,0.06149791381684723,-0.361565964250883,-0.3569510779341973,0.15451147644759664,-0.32696421312334323,-0.2812596612696794,-0.2987565849824626,0.011854012049445571,-0.12047694616556359,-0.3567042083063152,0.015534520762606814,-0.15305341685459709,0.5556467017253426,0.13093089438921307,-0.3113827162049007,-0.48516341808087377,0.06089843990051742,0.9359179927628541,-0.1949055667609956,0.04145010688107446,0.016445220836362753,-0.19288547848756996,-0.11507630653756815,-0.47382892702693846,-0.20834240970130072,0.12113416298859564,0.062285155293592374
2013 Urban Influence Code,0.04855704142864398,-0.4512152701905047,-0.05479613811978393,-0.16320779532784255,0.9236863301323898,1.0,0.8738347370284271,0.7783629728499342,-0.27901477735214003,-0.297601390819545,-0.30301751480109923,-0.3102273846411331,-0.25199945636708415,-0.2689918901540336,-0.2481822766474056,-0.27712305969813533,-0.297255255072153,-0.3070754839275404,-0.30045016532230806,-0.294700301537245,-0.23904758452191707,-0.24026794518781996,-0.2189199541094084,-0.20489387364967976,-0.20204630242725957,-0.20140596357447627,-0.25883696263861844,-0.315717505887725,-0.1409068453028755,-0.1700257822752238,-0.15543998451114763,-0.05071051046475904,0.14113372410154437,0.29065688563827413,0.21460050765989191,0.3092091384582392,0.36508604242157183,0.41560692246105646,0.3021117650782014,0.24916276349595545,0.17789613261942244,0.11468087619561056,-0.3720759793043156,-0.3789767121414773,-0.4036332992092666,-0.4214260817538273,-0.12480319501489802,-0.004401660498412109,0.2265172668789529,0.2716855303603031,-0.21720784778726307,-0.24294352201769243,-0.26593249846498546,-0.2846789563622644,-0.2891400494246825,-0.29105018123596016,0.12471324232374917,-0.22873628339964652,,,0.10904687352069295,-0.22304153298753035,0.16562641527872227,-0.2461817998920854,-0.420871219818204,0.3284639131533937,-0.25543945751255503,,,0.3155112562148627,-0.25258704734572135,0.3398648607103365,-0.26202783186781936,-0.34610057188598387,-0.38474896120354807,0.2466848905114678,,0.23421429708875766,0.26441118575134526,-0.24326524961982024,,-0.23923285550394743,-0.2545131803262151,0.8738347370284271,-0.3003469211146654,-0.3021729185031494,-0.8183146205574326,0.8738347370284271,-0.2511905421621141,0.06539045471913624,-0.30110837193083473,-0.2984516011666577,0.12760558386872284,-0.27824042050181674,-0.23337788734698464,-0.24658886231329907,0.009018933240873385,-0.10022925868531683,-0.2975284624685443,0.010247570517124839,-0.13408522593434638,0.4973736301367408,0.10980255799569426,-0.28051894177484255,-0.43246622519777633,0.045941881910114876,0.8738347370284271,-0.15789986104447845,0.010784118792391115,-0.014570322962337436,-0.15080232117432166,-0.09503067463614717,-0.3970289425756554,-0.17090347925031873,0.0744543283379049,0.07412245319083552
2023 Rural-urban Continuum Code,0.07219716201360231,-0.5083029641520405,-0.06367177538171173,-0.18521142623026443,0.9359179927628541,0.8738347370284271,1.0,0.7773115120655754,-0.324067213697791,-0.3455729523890231,-0.3517803960972562,-0.3608617971483886,-0.29176271452629715,-0.3122355084422026,-0.286808543923303,-0.3205410808271443,-0.343714442931767,-0.35572721785482586,-0.34898909862755495,-0.34376087639744796,-0.27711722937570016,-0.2795102203611064,-0.25556253803761336,-0.24008292978048007,-0.2373177835110655,-0.236829789938772,-0.27056783658855393,-0.33838384165852353,-0.15126206127381264,-0.20964371672635312,-0.19178948199032814,-0.06880253823578447,0.12867291708025927,0.30545362227631656,0.27231218509695754,0.3636177452471681,0.42477893678958223,0.4737388208093478,0.3150046893011657,0.25962872357058353,0.19342413074073103,0.1261271890672492,-0.4033387543176127,-0.4153281446307169,-0.4456173780480993,-0.46752928581921344,-0.11614218628550392,0.0225663771041732,0.22994168746179217,0.2868219404200452,-0.2520771833994065,-0.2829890599352851,-0.30997930973641935,-0.3316760506092011,-0.3370809814274909,-0.3399456812092661,0.12079623970460093,-0.27068575678838713,,,0.10513968254355319,-0.264344195278077,0.17582091115061638,-0.2889805873986046,-0.4685641730428274,0.34681156641519006,-0.3013969786744519,,,0.33477565629490263,-0.298255510923867,0.3636204160443937,-0.3072121446102439,-0.3863244687490701,-0.42886402026746323,0.25584650185475144,,0.24409945211557757,0.28229777152917906,-0.28740150949365745,,-0.28293612253775957,-0.2985679188144603,1.0,-0.349275782331664,-0.35132478674012013,-0.8659921925907365,1.0,-0.2937370549453541,0.044277573554152794,-0.35208004100981644,-0.3488102336560005,0.1478527086668106,-0.32088211792934884,-0.2711099038543297,-0.28817142705856985,0.009908387924795746,-0.1178466581480757,-0.34717798309205883,0.0107911717256535,-0.15354989432950006,0.5439929185964998,0.11784974350077869,-0.3229550714126377,-0.47662329100627965,0.043502101142688016,1.0,-0.16057768379152457,0.014816798216426336,-0.00933509762528232,-0.1542722188050956,-0.11039737582536664,-0.45698965676700953,-0.20611791709617722,0.09275108745848985,0.06185745674153278
2024 Urban Influence Code,0.06926769136600243,-0.3265578766909497,-0.08668493730143471,-0.2522778553941818,0.7782353818822206,0.7783629728499342,0.7773115120655754,1.0,-0.3858083580142994,-0.41158261612752833,-0.4182807507913891,-0.42854602817409365,-0.3484687908195162,-0.3698645580290188,-0.33737494384834193,-0.3697091033736294,-0.39052138521302726,-0.39954145540650965,-0.3895703133625829,-0.3811059046839723,-0.32763202279001025,-0.32418388124369174,-0.2970219969406149,-0.2820555946106625,-0.2771172967119349,-0.27807337907921137,-0.1928257310832528,-0.2709854198755502,-0.0929352104810278,-0.14742802682757428,-0.12518559809043833,0.00441682535608331,0.2113034422886757,0.377808307093244,0.2176534655155685,0.31098721998856893,0.359322988383468,0.3973029881591075,0.25217144343158043,0.19846205346760895,0.13944019057063461,0.08342215945414243,-0.34122745971984786,-0.3695725556352038,-0.41150139073782965,-0.43471767288815355,-0.09105032927800458,0.013185751026873947,0.1640320268832519,0.2239055455069256,-0.30004549597681585,-0.33265086643779596,-0.360580728009163,-0.3813378403639393,-0.3805656768731977,-0.379186899925992,0.15453420234955048,-0.2986625087714347,,,0.1316734589118112,-0.29255085301357747,0.24968821667689145,-0.3217535187244715,-0.5288439279277767,0.3407920527676795,-0.3253058795127073,,,0.3215893018595609,-0.3223228218548102,0.3940805702011064,-0.33703675158835983,-0.4686508442549002,-0.5005747705688806,0.2667426070660784,,0.2474130761550734,0.332781571840139,-0.3132092959908224,,-0.3089258550191994,-0.32980877562767447,0.7773115120655755,-0.40403709882238936,-0.40632454704367044,-0.5427104711114552,0.7773115120655755,-0.3415985671927742,0.034779593248526836,-0.39979908696793914,-0.3819655298545389,0.22464044306808648,-0.3279414277959828,-0.34265090342198146,-0.35356607705484505,0.06380482999745947,-0.09206986845079698,-0.3951407964174887,0.07082248498487434,-0.10535763366159949,0.47788078654712335,0.12293207809111023,-0.3505931025311041,-0.4041574836677381,0.041774765568022086,0.7773115120655755,-0.1405170335234536,0.03572480567075974,0.016604632354487236,-0.1404833137083674,-0.1404007041076018,-0.4388107298597604,-0.2231322996164205,0.17100018015705468,0.07897050160833406
"Bachelor's degree or higher, 1990",-0.1639843804467729,0.1465035106401201,0.36428137277694134,0.576902386668712,-0.33505529551640256,-0.27901477735214003,-0.324067213697791,-0.3858083580142994,1.0,0.9938505751869924,0.9845678487898947,0.9681846248662531,0.9735409514828264,0.9945842524570792,0.9188754925564744,0.9348958057730015,0.9256977661676901,0.9117080929980392,0.8987287750392069,0.8763959345143795,0.8409973234752037,0.8750277055152543,0.8932223480745379,0.8905647914844002,0.8747499505804054,0.8626309989720384,0.3092451389565477,0.32388911755855143,0.26387571591412945,0.23596569050164434,0.09730254138827474,-0.08596620572553927,-0.2430726284720901,-0.3623526844672713,-0.36792471349871536,-0.38419781110523077,-0.3585371499915286,-0.3542846951912778,-0.1359913588619859,-0.011733805938356908,0.045162855634849536,0.09560282626414551,0.3476491670765075,0.3195034788235487,0.3250272719075873,0.3338062312499595,0.0656567189766732,-0.15870072824895032,-0.2527648456793855,-0.2108253518530856,0.9509176927951148,0.9657135699638979,0.956941170377073,0.9392574612215817,0.9114678860257871,0.8840710618202857,0.06599078280485042,0.7953048472529635,,,0.08214400088524675,0.798206312302933,0.026642702198848216,0.8675937930543843,0.33021002553579654,-0.11598795262735144,0.8044578065249814,,,-0.10582226450734783,0.8093554223643356,-0.12227773196224553,0.8702021296681557,0.23853330470990172,0.28515086885419777,-0.04000750672302137,,-0.02850738203337692,-0.055993502611367596,0.8007900308258852,,0.8049338308342568,0.8691550908610627,-0.324067213697791,0.93365927451423,0.9335421333501739,0.22910033823667192,-0.324067213697791,0.9073200670870094,0.08465133214729789,0.8909420881323812,0.905795069006318,-0.7953438447302013,0.8922531875488082,0.7738935345711498,0.6872273726755358,-0.5352838691520604,-0.23617387428485945,0.924859190478995,-0.1077651552197193,0.03272643986114368,-0.2965989956000853,-0.35192236962646944,0.41106023227435157,0.23446674295280254,-0.2756803998456983,-0.324067213697791,0.18534284984459956,0.14509829725884268,0.17618963942140692,0.13925088201195676,0.5814892327929254,0.6096666098687447,0.42273301102221844,-0.11478693102956998,-0.04725921196905877
"Bachelor's degree or higher, 2000",-0.17367427256221538,0.16877163797160527,0.3429647618923548,0.5856729009328678,-0.3574959923479098,-0.297601390819545,-0.3455729523890231,-0.41158261612752833,0.9938505751869924,1.0,0.9960150571665265,0.9854850235882762,0.9518766512380527,0.981687239544005,0.8968607098530508,0.9220123300904479,0.9193429629578762,0.9127730710435392,0.9035618526617383,0.8839641660790919,0.8197571649147152,0.8555695366801606,0.8720239485918401,0.872968679609464,0.8612140458352848,0.8516959291472075,0.32256553376622404,0.344773882497324,0.28584222891221284,0.26564193986970935,0.12748438647185212,-0.06688619115357812,-0.23946603456719265,-0.37314228658153076,-0.3883922915075884,-0.4137955612719449,-0.3901535358303158,-0.38696003230295806,-0.16518736353670216,-0.039176450867727065,0.023109884610855717,0.07692153946310507,0.3732745625225157,0.3512680874045894,0.3562539267904621,0.3656267192032441,0.07045320848399571,-0.16097113296493165,-0.26802265561707034,-0.2348477534896039,0.9280077647448003,0.9529273876169506,0.9534054087453205,0.9451306124303301,0.9222631236273934,0.8988023123746618,0.038815736683906574,0.7924931492835139,,,0.05549541055388025,0.7936885680041174,-0.002700807682831081,0.8656816562417835,0.36946753680291616,-0.15042644661637714,0.804175987580996,,,-0.14018306103426725,0.8077317304617166,-0.1573384991362239,0.8697897420658208,0.27493306334104173,0.32312718504726007,-0.07191036624371368,,-0.06024477142733145,-0.08883678477444751,0.7993374926939196,,0.8019791644497405,0.8680256644613049,-0.3455729523890231,0.9480718543918666,0.9485386579463433,0.24412349013735724,-0.3455729523890231,0.9085393184947458,0.07026473701547768,0.9047552226405,0.9139294099963118,-0.7695199936868062,0.8870642055438014,0.7907497809477604,0.7088985067172331,-0.4883648533473554,-0.17915489110413008,0.9371399494318261,-0.10087275977311158,0.03133445757163721,-0.3288146945590481,-0.3444550331012996,0.4331645820071029,0.25750397109327866,-0.26170074598354576,-0.3455729523890231,0.2069368036710005,0.14554836643101687,0.17402567784591388,0.15941295535922415,0.5568887551846483,0.6375312875386661,0.42370304307765166,-0.11773367185679465,-0.047174282588412275
