fips_code,data_centers,total_power_usage_kwh,total_carbon_emission_2023_tons
1071,"['Google Jackson County Data Center', 'Google Jackson County Data Center']","[99280.0, 99280.0]","[14157.76543, 302649.0169]"
1073,"['Windstream Minneapolis', 'ipHouse', 'Lumen Birmingham 1', 'Southern Telecom Birmingham', 'Core Scientific Grand Forks']","[18318.13333, 18318.13333, 99280.0, 99280.0, 559388.5714]","[143233.4815, 143233.4815, 143233.4815, 143233.4815, 143233.4815]"
1081,['AUBix Data Center'],[99280.0],[143233.4815]
1089,"['DC BLOX Huntsville', 'Simple Helix Data Center', 'Meta Hunstville Data Center']","[99280.0, 99280.0, 99280.0]","[14157.76543, 14157.76543, 14157.76543]"
1097,"['Uniti Fiber Alabama Data Center', 'Assurance Technology, LLp']","[99280.0, 99280.0]","[143233.4815, 143233.4815]"
1101,"['Meta Montgomery Data Center', 'Sparrow Technology Solutions, LLC.']","[99280.0, 99280.0]","[143233.4815, 143233.4815]"
1103,['Integris Cambridge'],[18318.13333],[14157.76543]
1117,['Fresh Technology'],[99280.0],[143233.4815]
2020,['GCI Anchorage'],[93718.09],[nan]
2060,"['Amazon AWS PDX - 1650 Beach', 'Amazon AWS PDX - 3250 Beach']","[58840.94495, 58840.94495]","[nan, nan]"
