Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,Zone_id,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,carbon_emission_2023_tons,carbon_emission_per_hour_2023_tons
Amazon AWS PDX - 1650 Beach,1650 Beach Access Rd,-157.0610252,58.7370403,RANGE_INTERPOLATED,US-AK,58840.94495,6.717002849,,0
Amazon AWS PDX - 3250 Beach,3250 Beach Access Rd,-157.0610252,58.7370403,RANGE_INTERPOLATED,US-AK,58840.94495,6.717002849,,0
GCI Anchorage,6831 Arctic Blvd,-149.8899852,61.1584545,ROOFTOP,US-AK,93718.09,10.6984121,,0
Equinix LA7,1501 Francisco Street,-122.4265935,37.8030249,GEOMETRIC_CENTER,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
2334 Lundy Place (SJC26),2334 Lundy Place,-121.8894616,37.4039431,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
150 South First St,150 South First Street,-121.8813797,37.3238204,GEOMETRIC_CENTER,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Equinix SV1,11 Great Oaks Boulevard,-121.7833286,37.2415906,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Equinix SV3,1735 Lundy Ave,-121.8885624,37.3881855,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Prime San Jose,6580 Via del Oro,-121.7823671,37.2353384,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Element Critical Silicon Valley,1360 Kifer Rd,-121.9874965,37.3720711,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Evocative OAK1,1400 65th Stret,-122.2927661,37.84685993,GoogleMap,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
CoreSite San Jose (SV1),55 South Market Street,-121.8917214,37.3341801,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
QTS Santa Clara I & II,2805/2807 Mission College Blvd,-121.978398,37.3927539,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Rackspace San Jose,150 South 1st St,-121.8879416,37.33364378,GoogleMap,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Equinix SV11,5 Great Oaks Boulevard,-121.7845084,37.242022,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
CoreSite Santa Clara (SV2),1656 McCarthy Blvd.,-121.9162408,37.4056888,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
Equinix SV10,7 Great Oaks Boulevard,-121.7849556,37.2413955,ROOFTOP,US-CAL-BANC,33566.97482,3.831846441,47463.53325,5.418211558
