fips_code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
0,,,,,32310253,44462605,58205022,79954302,11717266,21558480,34158051,45947035,47642763,52168981,57706852,59836489,52373312,44535197,39343718,35715625,29179819,24230217,10.7,16.2,10.6,15.7,24.9,27.4,28.99357875,28.1978456,30,28.6,28.24115535,26.19413741,24.8,19.6,14.28031114,10.60706676,20.3,24.4,28.48495476,35.00095023,31.1,34.6,47.7,33.5,11650730,20794975,39571702,49864428,59244324,64413653
1000,,,,,399228,549608,705001,957081,141936,270063,468269,704207,749591,877216,991406,1046374,1062306,964840,843638,714081,551030,409381,7.8,12.2,7.5,12.5,21.7,25.9,29.02286617,30.02828639,29.4,30.4,31.30995723,30.34461599,33.1,24.7,17.40228093,11.87195901,15.7,19,22.26489567,27.75513862,25.9,31.8,58.7,43.5,136287,278205,553512,746495,918987,1035466
10000,,,,,91722,128917,172084,250626,37630,60206,91211,124798,140030,161760,190866,206192,130463,108063,96472,89536,74349,61144,13.1,17.5,9.8,15,23.4,26.1,27.51922245,27.09299281,32.7,31.4,31.63537097,29.02305888,22.5,17.4,12.32308633,8.606473153,21.4,25,28.52232025,35.27747515,31.7,36.2,45.4,31.4,28091,51590,100275,134445,166032,192480
10001,3,2,3,4,10152,14769,21371,33311,3803,6708,13141,20718,22967,26100,35266,41922,18865,18471,18185,16312,15773,12215,9.6,12.6,9.4,14,24.2,27.8,30.6908896,29.80687419,33.9,32.9,33.75576699,33.65012602,26.9,20.6,15.09753623,9.804787208,15,18.6,20.45580719,26.73821258,33.3,38.8,47.7,34.6,3712,7463,16412,22068,32064,37134
10003,1,1,1,1,71585,95774,119313,156313,30764,47542,65241,82914,88345,96294,102958,108893,86082,63865,54957,47245,38328,29527,15.1,20.6,10.4,16,24.3,26.3,26.81036904,26.04737757,31.1,29.6,28.91591305,27.3227732,19.4,14.5,10.7644779,7.408736322,25.2,29.5,33.50924002,39.2211129,32.1,35.9,42.4,27.6,21048,36957,68922,85497,95461,103810
10005,2,2,4,5,9985,18374,31400,61002,3063,5956,12829,21166,28718,39366,52642,55377,25516,25727,23330,25979,20248,19402,6.8,9.9,7.4,11.9,19.4,24.3,26.96625279,27.51271908,37.3,35.6,36.86492013,29.56325374,30.3,23.5,14.1795696,10.35784259,13,16.6,21.98925748,32.5661846,28.7,35.3,57,42.9,3331,7170,14941,26880,38507,51536
1001,2,2,2,4,3026,4972,7629,11530,767,2117,3757,6145,6671,9332,11874,13321,6611,7074,6252,5872,5232,3963,6.4,12.1,7.7,12.1,23.5,26.9,29.6181425,29.32028356,32,33.8,33.78670612,32.67593887,30,21.3,14.88732074,9.721097947,14.5,18,21.70783064,28.28267962,31.1,35.2,54.8,40.6,933,2104,4912,7413,10409,11953
1003,3,2,3,4,10870,22146,35307,56408,2038,5498,8426,15380,20544,28428,36675,47369,18726,18125,17309,17258,14792,14221,6.5,12.1,7.4,14.5,24.6,29.3,31.81950326,31.391725,31.8,29.6,28.81646251,27.54203782,26.8,18,11.62244345,8.268600135,16.8,23.1,27.74159078,32.79763704,26.7,33.7,59.4,39.7,2334,6602,15900,28178,40497,53990
1005,6,6,6,5,1857,2068,2757,2021,861,1300,2242,3671,4258,6124,6320,6629,8120,7759,6965,6679,5013,3911,7.3,9.2,4.9,9.7,16.7,21.3,25.7717838,28.74404357,27.1,32.4,33.29470024,37.60494668,44.4,35.3,26.4092298,22.18629453,11.8,10.9,14.52428617,11.46471523,19,26.1,68.8,55.1,581,1362,2622,4025,4892,5067
1007,1,1,1,1,476,962,1396,1827,302,433,1402,2611,3407,4838,6457,6552,5272,5254,4850,4984,3702,3132,4.2,4.9,3.3,6.1,13.2,20.4,25.5380848,27.7446488,33.8,35.7,41.60974352,41.12736175,48.2,36.8,23.85616703,19.65978281,4.7,7.1,8.99600464,11.46820664,19.4,29.6,73.1,59.5,238,536,1332,2756,3963,4420
