fips_code,BIRTHS_2023,DEATHS_2023,DOMESTIC_MIG_2023,GQ_ESTIMATES_2023,INTERNATIONAL_MIG_2023,NATURAL_CHG_2023,NET_MIG_2023,N_POP_CHG_2023,POP_ESTIMATE_2023,RESIDUAL_2023,R_BIRTH_2023,R_DEATH_2023,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2023,R_NET_MIG_2023,Rural_Urban_Continuum_Code_2023
0,3653356,3148861,0,,1138989,504495,1138989,1643484,334914895,0,10.9,9.4,0,3.4,1.5,3.4,
1000,58251,59813,30744,144014,5384,-1562,36128,34565,5108468,-1,11.4,11.7,6,1.1,-0.3,7.1,
10000,10725,10897,10320,23737,2277,-172,12597,12431,1031890,6,10.5,10.6,10.1,2.2,-0.2,12.3,
10001,2153,2169,1788,5279,263,-16,2051,2031,189789,-4,11.4,11.5,9.5,1.4,-0.1,10.9,3
10003,6080,5527,1203,15686,1582,553,2785,3338,578592,0,10.5,9.6,2.1,2.7,1,4.8,1
10005,2492,3201,7329,2772,432,-709,7761,7062,263509,10,9.6,12.3,28.2,1.7,-2.7,29.9,4
1001,714,621,491,484,34,93,525,616,60342,-2,11.9,10.3,8.2,0.6,1.5,8.7,2
1003,2531,2640,6804,3493,291,-109,7095,6976,253507,-10,10.1,10.6,27.2,1.2,-0.4,28.4,3
1005,267,350,-45,2702,13,-83,-32,-115,24585,0,10.8,14.2,-1.8,0.5,-3.4,-1.3,6
1007,240,290,-69,1894,1,-50,-68,-118,21868,0,10.9,13.2,-3.1,0,-2.3,-3.1,1
1009,698,776,358,616,24,-78,382,300,59816,-4,11.7,13,6,0.4,-1.3,6.4,1
1011,102,133,-219,1615,6,-31,-213,-246,9897,-2,10.2,13.3,-21.9,0.6,-3.1,-21.3,8
1013,212,299,-207,285,8,-87,-199,-286,18382,0,11.4,16.1,-11.2,0.4,-4.7,-10.7,6
1015,1346,1649,923,5936,29,-303,952,649,116429,0,11.6,14.2,7.9,0.2,-2.6,8.2,3
1017,398,511,-26,860,55,-113,29,-85,34079,-1,11.7,15,-0.8,1.6,-3.3,0.8,6
1019,230,409,482,278,14,-179,496,313,25666,-4,9,16,18.9,0.5,-7,19.4,8
1021,548,588,577,388,49,-40,626,583,46431,-3,11.9,12.7,12.5,1.1,-0.9,13.6,1
1023,108,200,-88,66,2,-92,-86,-179,12252,-1,8.8,16.2,-7.1,0.2,-7.5,-7,9
