fips_code,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023
0,15.8,11310265,16.5,2977590,15.1,8036505,12.4,40485829,77533,16.2,11580263,17.1,3078348,15.5,8241583,12.6,41040257,77905,77719,16,16.8,15.3,12.5,11445264,3027969,8139044,40763043,
1000,20.5,226963,21.6,61943,19.2,157700,15.3,762230,61546,22.1,245677,24.8,70971,21.2,174262,16.1,797856,62950,62248,21.3,23.2,20.2,15.7,236320,66457,165981,780043,
10000,14.1,29469,14.5,7696,13.1,20149,10.3,103844,80048,16.7,34849,18.5,9778,16.3,25111,11.3,114562,83182,81615,15.4,16.5,14.7,10.8,32159,8737,22630,109203,
10001,12.2,5148,,,11.6,3654,9.8,17913,67331,20.2,8560,,,19.8,6234,13.6,25029,77665,72498,16.2,,15.7,11.7,6854,,4944,21471,3
10003,12.4,14890,,,11.5,10273,9.9,55848,83802,16.8,20150,,,16.1,14345,11.9,67126,89794,86798,14.6,,13.8,10.9,17520,,12309,61487,1
10005,13.1,5973,,,11.9,3996,8.6,22382,74172,21.1,9599,,,20.1,6758,11.6,30106,82012,78092,17.1,,16,10.1,7786,,5377,26244,4
1001,12.7,1759,,,12.2,1254,9.3,5599,62667,21.3,2967,,,21.2,2190,14.1,8409,75047,68857,17,,16.7,11.7,2363,,1722,7004,2
1003,11.1,5752,,,9.9,3889,8.4,20972,69046,17.1,8916,,,16.1,6321,11.6,28912,79450,74248,14.1,,13,10,7334,,5105,24942,3
1005,23.8,1187,,,22,813,19.5,4266,40531,45.8,2289,,,44.4,1639,31.5,6904,50065,45298,34.8,,33.2,25.5,1738,,1226,5585,6
1007,15.1,640,,,14.3,444,15.6,3112,49463,27.7,1180,,,27.5,854,23.2,4628,62587,56025,21.4,,20.9,19.4,910,,649,3870,1
1009,12.2,1652,,,11.2,1124,10.3,6121,59013,21,2848,,,20.4,2050,15.3,9059,70911,64962,16.6,,15.8,12.8,2250,,1587,7590,1
1011,28,557,,,25.8,385,26.1,2162,31398,51.6,1025,,,50,747,41.1,3396,41010,36204,39.8,,37.9,33.6,791,,566,2779,8
1013,28.9,1171,,,25.7,766,19.2,3469,40192,45.9,1863,,,44.9,1342,28,5057,49266,44729,37.4,,35.3,23.6,1517,,1054,4263,6
1015,24,5829,,,19.7,3498,17.5,19284,48155,33,8017,,,30.3,5404,22.7,25064,55527,51841,28.5,,25,20.1,6923,,4451,22174,3
1017,17.1,1196,,,16.6,856,13,4296,44560,34.9,2432,,,35,1802,21.2,7026,56220,50390,26,,25.8,17.1,1814,,1329,5661,6
1019,13.6,640,,,13.1,462,12,3042,50628,27.4,1292,,,27.5,972,19.2,4856,62172,56400,20.5,,20.3,15.6,966,,717,3949,8
