fips_code,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023,Unemployed_2023,Unemployment_rate_2023
0,166689556,160623678,,,6065878,3.6
1000,2308131,2250472,,,57659,2.5
10000,506529,486404,,,20125,4
10001,81412,77738,1,3,3674,4.5
10003,310311,298270,1,1,12041,3.9
10005,114807,110397,0,4,4410,3.8
1001,27000,26409,1,2,591,2.2
1003,104409,102029,1,3,2380,2.3
1005,7944,7592,0,6,352,4.4
1007,8772,8556,1,1,216,2.5
1009,25836,25282,1,1,554,2.1
1011,4500,4393,0,8,107,2.4
1013,9009,8746,0,6,263,2.9
1015,45540,44256,1,3,1284,2.8
1017,16272,15884,0,6,388,2.4
1019,11854,11570,0,8,284,2.4
1021,20293,19848,1,1,445,2.2
1023,4221,4052,0,9,169,4
1025,7591,7212,0,9,379,5
1027,5945,5805,0,9,140,2.4
1029,6205,6064,0,8,141,2.3
1031,21781,21235,0,4,546,2.5
1033,24063,23355,1,3,708,2.9
1035,4259,4108,0,9,151,3.5
1037,4549,4433,0,8,116,2.6
1039,14872,14464,0,6,408,2.7
1041,6160,5996,0,8,164,2.7
1043,39773,38961,0,4,812,2
1045,21198,20661,0,4,537,2.5
1047,13537,12803,0,4,734,5.4
1049,31004,30300,0,6,704,2.3
1051,38594,37772,1,2,822,2.1
1053,14440,13990,0,6,450,3.1
1055,39430,38328,1,3,1102,2.8
1057,6582,6392,0,8,190,2.9
1059,14247,13881,0,6,366,2.6
1061,11216,10942,1,3,274,2.4
1063,2851,2715,1,2,136,4.8
1065,5978,5779,1,2,199,3.3
1067,7059,6873,1,3,186,2.6
1069,48357,47108,1,3,1249,2.6
1071,23482,22899,0,6,583,2.5
1073,325388,317407,1,1,7981,2.5
1075,5759,5598,0,8,161,2.8
1077,43281,42182,1,3,1099,2.5
1079,14920,14583,1,3,337,2.3
1081,81236,79373,1,3,1863,2.3
1083,49912,48881,1,2,1031,2.1
1085,3501,3341,1,2,160,4.6
1087,7995,7740,1,3,255,3.2
1089,206080,201862,1,2,4218,2
1091,7585,7332,0,6,253,3.3
1093,13526,13131,0,9,395,2.9
1095,46210,45260,0,4,950,2.1
1097,190167,184271,1,2,5896,3.1
1099,6989,6690,0,8,299,4.3
11000,398251,378714,,,19537,4.9
11001,398251,378714,1,1,19537,4.9
1101,108083,105043,1,2,3040,2.8
1103,61853,60624,1,3,1229,2
1105,2979,2830,0,8,149,5
1107,7810,7574,1,2,236,3
1109,16124,15684,0,6,440,2.7
1111,9637,9401,0,8,236,2.4
1113,23550,22901,1,2,649,2.8
1115,42456,41549,1,1,907,2.1
1117,122282,120026,1,1,2256,1.8
1119,4584,4415,0,8,169,3.7
1121,36727,35708,0,4,1019,2.8
1123,17385,16947,0,6,438,2.5
1125,106199,103714,1,2,2485,2.3
1127,25677,24998,1,1,679,2.6
1129,9150,8915,0,8,235,2.6
1131,2526,2324,0,9,202,8
1133,9748,9482,0,8,266,2.7
12000,10988566,10668886,,,319680,2.9
12001,143954,139514,1,2,4440,3.1
12003,12862,12485,1,1,377,2.9
12005,89303,86818,1,3,2485,2.8
12007,10952,10611,0,6,341,3.1
12009,305643,296517,1,2,9126,3
12011,1085562,1054288,1,1,31274,2.9
12013,5011,4845,0,8,166,3.3
12015,78551,75829,1,3,2722,3.5
12017,49980,47735,1,3,2245,4.5
12019,115044,111715,1,1,3329,2.9
12021,192874,187334,1,2,5540,2.9
12023,29934,28921,0,4,1013,3.4
12027,13296,12820,0,6,476,3.6
12029,6003,5785,0,8,218,3.6
12031,520131,503763,1,1,16368,3.1
12033,153383,148668,1,2,4715,3.1
12035,51503,49590,1,2,1913,3.7
12037,4807,4669,0,8,138,2.9
12039,18662,17940,1,2,722,3.9
12041,7472,7228,1,2,244,3.3
12043,5185,4990,0,8,195,3.8
12045,5485,5338,0,8,147,2.7
12047,4238,4055,0,8,183,4.3
12049,9084,8709,0,6,375,4.1
12051,15886,15124,0,4,762,4.8
12053,78784,75758,1,1,3026,3.8
12055,37436,35836,1,3,1600,4.3
12057,824322,800135,1,1,24187,2.9
12059,7178,6947,0,8,231,3.2
12061,69755,67295,1,3,2460,3.5
12063,17596,16997,0,6,599,3.4
12065,5770,5586,1,2,184,3.2
12067,2869,2774,0,9,95,3.3
12069,177504,171974,1,1,5530,3.1
12071,378092,366080,1,2,12012,3.2
12073,161608,156589,1,2,5019,3.1
12075,17521,16906,1,2,615,3.5
12077,2653,2566,0,8,87,3.3
12079,8043,7781,0,8,262,3.3
12081,193407,187525,1,2,5882,3
12083,151795,146274,1,2,5521,3.6
12085,77930,75677,1,2,2253,2.9
12086,1377572,1352500,1,1,25072,1.8
12087,49895,48941,0,4,954,1.9
12089,45472,44186,1,1,1286,2.8
12091,104621,101885,1,2,2736,2.6
12093,18116,17534,0,4,582,3.2
12095,820473,797143,1,1,23330,2.8
12097,204145,197266,1,1,6879,3.4
12099,778964,755532,1,1,23432,3
12101,265469,256626,1,1,8843,3.3
12103,523711,509140,1,1,14571,2.8
12105,344422,331847,1,2,12575,3.7
12107,28231,27109,0,4,1122,4
12109,151891,147847,1,1,4044,2.7
12111,159361,153763,1,2,5598,3.5
12113,90137,87574,1,2,2563,2.8
12115,202564,196466,1,2,6098,3
12117,273639,266027,1,1,7612,2.8
12119,38961,37316,1,3,1645,4.2
12121,18069,17454,0,6,615,3.4
12123,8463,8175,0,6,288,3.4
12125,4607,4470,0,8,137,3
12127,271253,262386,1,2,8867,3.3
12129,16141,15698,1,2,443,2.7
12131,35464,34477,1,2,987,2.8
12133,9859,9535,1,3,324,3.3
13000,5305623,5135833,,,169790,3.2
13001,9663,9338,0,7,325,3.4
13003,4268,4136,0,9,132,3.1
13005,5043,4895,0,9,148,2.9
13007,1082,1041,0,8,41,3.8
13009,17399,16674,0,4,725,4.2
13011,11496,11244,0,8,252,2.2
13013,43748,42540,1,1,1208,2.8
13015,53059,51426,1,1,1633,3.1
13017,5665,5420,0,7,245,4.3
13019,7787,7500,0,8,287,3.7
13021,64817,62251,1,3,2566,4
13023,4762,4562,0,6,200,4.2
13025,7561,7298,1,3,263,3.5
13027,6598,6374,1,3,224,3.4
13029,20414,19876,1,2,538,2.6
13031,39023,37715,0,4,1308,3.4
13033,9003,8506,1,2,497,5.5
13035,11492,11154,1,1,338,2.9
13037,2306,2242,0,8,64,2.8
13039,22531,21849,0,4,682,3
13043,6002,5854,0,9,148,2.5
13045,58101,56195,1,1,1906,3.3
13047,34497,33577,1,2,920,2.7
13049,5069,4913,0,8,156,3.1
13051,146009,141723,1,2,4286,2.9
13053,1889,1804,1,2,85,4.5
13055,9382,9036,0,6,346,3.7
13057,144992,141264,1,1,3728,2.6
13059,59574,57598,1,3,1976,3.3
13061,799,737,0,9,62,7.8
13063,142329,136499,1,1,5830,4.1
13065,3075,2988,0,8,87,2.8
13067,438388,426016,1,1,12372,2.8
13069,18822,18144,0,7,678,3.6
13071,21839,21218,0,6,621,2.8
13073,76003,73722,1,2,2281,3
13075,8293,8027,0,6,266,3.2
13077,78953,76649,1,1,2304,2.9
13079,5296,5125,1,3,171,3.2
13081,9873,9509,0,6,364,3.7
13083,8274,8059,1,2,215,2.6
13085,13601,13245,1,1,356,2.6
13087,11465,11071,0,6,394,3.4
13089,411541,397898,1,1,13643,3.3
13091,7101,6829,0,7,272,3.8
13093,4543,4369,0,8,174,3.8
13095,36062,34517,1,3,1545,4.3
13097,76306,73677,1,1,2629,3.4
13099,4003,3848,0,8,155,3.9
13101,1831,1779,1,3,52,2.8
13103,34131,33246,1,2,885,2.6
13105,8181,7888,0,6,293,3.6
13107,8849,8477,0,7,372,4.2
13109,4926,4783,0,8,143,2.9
13111,12179,11836,0,8,343,2.8
13113,60597,58798,1,1,1799,3
13115,46724,45250,1,3,1474,3.2
13117,132233,128872,1,1,3361,2.5
13119,9910,9590,0,8,320,3.2
13121,584831,564799,1,1,20032,3.4
13123,12780,12386,0,6,394,3.1
13125,1237,1195,0,9,42,3.4
13127,40744,39585,1,3,1159,2.8
13129,29080,28219,0,4,861,3
13131,10846,10514,0,6,332,3.1
13133,7583,7331,0,8,252,3.3
13135,508851,494269,1,1,14582,2.9
13137,19415,18809,0,6,606,3.1
13139,111456,108770,1,3,2686,2.4
13141,2450,2316,0,9,134,5.5
13143,13218,12794,1,1,424,3.2
13145,16719,16247,1,2,472,2.8
13147,12724,12350,0,6,374,2.9
13149,5392,5227,1,1,165,3.1
13151,122673,118431,1,1,4242,3.5
13153,71134,69062,1,3,2072,2.9
13155,3496,3358,0,9,138,3.9
13157,49206,48186,0,4,1020,2.1
13159,7298,7089,1,1,209,2.9
13161,6109,5848,0,9,261,4.3
13163,6686,6418,0,8,268,4
13165,3335,3169,0,9,166,5
13167,4112,3993,0,9,119,2.9
13169,13166,12760,1,3,406,3.1
13171,8505,8220,0,6,285,3.4
13173,3765,3621,1,3,144,3.8
13175,19791,18980,0,4,811,4.1
13177,14879,14455,1,3,424,2.8
13179,26226,25365,1,3,861,3.3
13181,3496,3363,1,2,133,3.8
13183,8463,8191,1,3,272,3.2
13185,50299,48548,1,3,1751,3.5
13187,18091,17610,1,1,481,2.7
13189,8436,8026,1,2,410,4.9
13191,6333,6140,1,3,193,3
13193,4556,4363,0,8,193,4.2
13195,13727,13329,1,3,398,2.9
13197,3225,3108,1,2,117,3.6
