ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,40.4,-5.9,12,46.3
AL-003,Baldwin County,Alabama,46.4,-4.6,20,51
AL-005,Barbour County,Alabama,41.2,-6.6,10,47.8
AL-007,Bibb County,Alabama,39,-5.3,16,44.3
AL-009,Blount County,Alabama,37,-4.6,21,41.6
AL-011,Bullock County,Alabama,40.4,-6.4,10,46.8
AL-013,Butler County,Alabama,41.9,-5.6,14,47.5
AL-015,Calhoun County,Alabama,38.1,-4.2,23,42.3
AL-017,Chambers County,Alabama,38.7,-5,17,43.7
AL-019,Cherokee County,Alabama,36.9,-4.5,21,41.4
AL-021,Chilton County,Alabama,39.3,-5.4,17,44.7
AL-023,Choctaw County,Alabama,42.8,-4.3,24,47.1
AL-025,Clarke County,Alabama,43.2,-4.7,20,47.9
AL-027,Clay County,Alabama,38.4,-4.4,22,42.8
AL-029,Cleburne County,Alabama,37.6,-3.9,24,41.5
AL-031,Coffee County,Alabama,42.3,-6.4,9,48.7
AL-033,Colbert County,Alabama,35.8,-4.1,24,39.9
AL-035,Conecuh County,Alabama,43.6,-5.1,17,48.7
AL-037,Coosa County,Alabama,39.1,-5.4,15,44.5
AL-039,Covington County,Alabama,43.5,-5.4,15,48.9
AL-041,Crenshaw County,Alabama,41,-6.4,12,47.4
AL-043,Cullman County,Alabama,36.4,-4.7,19,41.1
AL-045,Dale County,Alabama,42.5,-6.6,9,49.1
AL-047,Dallas County,Alabama,41,-5.8,13,46.8
AL-049,DeKalb County,Alabama,35.4,-4.6,22,40
AL-051,Elmore County,Alabama,39.9,-6.2,10,46.1
AL-053,Escambia County,Alabama,44.5,-5.2,16,49.7
AL-055,Etowah County,Alabama,37.2,-4.7,19,41.9
AL-057,Fayette County,Alabama,37.4,-5.4,15,42.8
AL-059,Franklin County,Alabama,35.4,-4.8,17,40.2
AL-061,Geneva County,Alabama,43.6,-6.1,12,49.7
AL-063,Greene County,Alabama,40.2,-5,18,45.2
AL-065,Hale County,Alabama,40.1,-5.2,19,45.3
AL-067,Henry County,Alabama,42.5,-6.6,9,49.1
AL-069,Houston County,Alabama,44,-6.2,11,50.2
AL-071,Jackson County,Alabama,34.8,-5.1,17,39.9
AL-073,Jefferson County,Alabama,38.1,-5,19,43.1
AL-075,Lamar County,Alabama,38,-4.8,22,42.8
AL-077,Lauderdale County,Alabama,35.6,-3.8,24,39.4
AL-079,Lawrence County,Alabama,35.6,-4.8,18,40.4
AL-081,Lee County,Alabama,39.6,-6,11,45.6
AL-083,Limestone County,Alabama,35.1,-4.8,18,39.9
AL-085,Lowndes County,Alabama,41.4,-5.8,14,47.2
AL-087,Macon County,Alabama,40,-6.5,9,46.5
AL-089,Madison County,Alabama,35.3,-4.9,19,40.2
AL-091,Marengo County,Alabama,41.4,-5.2,19,46.6
AL-093,Marion County,Alabama,36.4,-4.9,20,41.3
AL-095,Marshall County,Alabama,36.7,-4.3,25,41
AL-097,Mobile County,Alabama,46.2,-4.3,22,50.5
AL-099,Monroe County,Alabama,43.5,-4.9,18,48.4
AL-101,Montgomery County,Alabama,40.6,-6.5,11,47.1
AL-103,Morgan County,Alabama,36,-4.6,21,40.6
AL-105,Perry County,Alabama,39.9,-5.7,13,45.6
AL-107,Pickens County,Alabama,39.1,-5,20,44.1
AL-109,Pike County,Alabama,40.8,-6.9,8,47.7
AL-111,Randolph County,Alabama,38.3,-4,23,42.3
AL-113,Russell County,Alabama,41,-6,13,47
AL-115,St. Clair County,Alabama,37.9,-4.6,19,42.5
AL-117,Shelby County,Alabama,39,-4.7,20,43.7
AL-119,Sumter County,Alabama,41.1,-4.7,22,45.8
AL-121,Talladega County,Alabama,39.1,-4.5,21,43.6
AL-123,Tallapoosa County,Alabama,38.7,-5.7,12,44.4
AL-125,Tuscaloosa County,Alabama,38.8,-5.4,14,44.2
AL-127,Walker County,Alabama,36.9,-5.7,13,42.6
AL-129,Washington County,Alabama,44.3,-4.3,22,48.6
AL-131,Wilcox County,Alabama,42.1,-5.4,15,47.5
AL-133,Winston County,Alabama,35.6,-5.3,16,40.9
AZ-001,Apache County,Arizona,28,-1.7,39,29.7
AZ-003,Cochise County,Arizona,41.3,-2.2,29,43.5
AZ-005,Coconino County,Arizona,31.6,-0.3,48,31.9
AZ-007,Gila County,Arizona,40.3,-0.6,43,40.9
AZ-009,Graham County,Arizona,41.2,-1.4,33,42.6
AZ-011,Greenlee County,Arizona,36.5,-1.9,27,38.4
AZ-012,La Paz County,Arizona,52,0.8,71,51.2
AZ-013,Maricopa County,Arizona,50.9,0.1,55,50.8
AZ-015,Mohave County,Arizona,42.4,0.1,50,42.3
AZ-017,Navajo County,Arizona,29.8,-0.6,45,30.4
AZ-019,Pima County,Arizona,48.8,-0.8,39,49.6
AZ-021,Pinal County,Arizona,48.9,-0.6,41,49.5
AZ-023,Santa Cruz County,Arizona,42.6,-1.7,30,44.3
AZ-025,Yavapai County,Arizona,40.3,-0.6,46,40.9
AZ-027,Yuma County,Arizona,53.6,0.8,73,52.8
AR-001,Arkansas County,Arkansas,38.3,-2.9,29,41.2
AR-003,Ashley County,Arkansas,40.4,-3.2,25,43.6
AR-005,Baxter County,Arkansas,32,-2.9,22,34.9
AR-007,Benton County,Arkansas,32.9,-2.1,30,35
AR-009,Boone County,Arkansas,32.1,-2.6,25,34.7
AR-011,Bradley County,Arkansas,40,-2.8,29,42.8
AR-013,Calhoun County,Arkansas,39.4,-3.4,23,42.8
AR-015,Carroll County,Arkansas,32.6,-2.3,27,34.9
AR-017,Chicot County,Arkansas,40.2,-3.6,23,43.8
AR-019,Clark County,Arkansas,37.7,-3.9,19,41.6
AR-021,Clay County,Arkansas,33.8,-2.1,33,35.9
AR-023,Cleburne County,Arkansas,34.8,-2.7,26,37.5
AR-025,Cleveland County,Arkansas,38.8,-3.2,22,42
AR-027,Columbia County,Arkansas,40,-3.8,21,43.8
AR-029,Conway County,Arkansas,35.4,-3.2,22,38.6
AR-031,Craighead County,Arkansas,35.2,-1.8,36,37
AR-033,Crawford County,Arkansas,34,-3.5,21,37.5
AR-035,Crittenden County,Arkansas,36.1,-3.3,24,39.4
AR-037,Cross County,Arkansas,35.8,-3,27,38.8
AR-039,Dallas County,Arkansas,38.1,-3.9,19,42
AR-041,Desha County,Arkansas,39,-3.3,25,42.3
AR-043,Drew County,Arkansas,39.9,-2.8,29,42.7
AR-045,Faulkner County,Arkansas,35.3,-3.9,21,39.2
AR-047,Franklin County,Arkansas,34.4,-3.1,22,37.5
AR-049,Fulton County,Arkansas,31.8,-2.4,27,34.2
